Код","Название","Описание","Фото1","Фото2","Фото3","Фото4","Фото5","Цена за упаковку","Кол в упаковке","Цена опт ","наличие","рубрика","Детальноеописание","Nazvanie","Vitrina","Short","Vid","UAH"
"13015","Мужские махровые носки Ekmen","Мужские махровые носки Ekmen. Состав: хлопок 80%, нейлон 18%, эластан 2%. Размер: 41-44. Цвет: чёрный. Количество в упаковке 12 пар.","/pic/IMG_4203","IMG_4181","","","","315","12","26,25","1","3","","Muzhskie_noski_Ekmen_13015","","short","вид","UAH"
"13031","Мужские махровые носки Z&N ","Мужские махровые носки Z&N. Состав: хлопок 90%, ПА 7%, еластан 3%. Цвет: чёрный. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_4146","","","","","230","12","19,1666666666667","1","3","","Muzhskie_mahrovye_noski_ZN_13031","","short","вид","UAH"
"13032","Мужские махровые носки Z&N ","Мужские махровые носки Z&N. Состав: хлопок 90%, ПА 7%, еластан 3%. Цвет: ассорти. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_4147","","","","","230","12","19,1666666666667","1","3","","Muzhskie_mahrovye_noski_ZN_13032","","short","вид","UAH"
"13033","Мужские махровые носки Z&N Модал","Мужские махровые носки Z&N Модал. Состав: модал 90%, ПА 7%, еластан 3%. Цвет: чёрный. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_4148","","","","","380","12","31,6666666666667","1","3","","Muzhskie_mahrovye_noski_ZN_13033","","short","вид","UAH"
"13034","Мужские махровые носки Ekmen","Мужские махровые носки Ekman. Состав: хлопок 90%, стрейч 10%. Цвет: ассорти. Размер: 38-41. Количество в упаковке 12 пар.","/pic/IMG_4282(1)","IMG_4282","","","","410","12","34,1666666666667","1","3","","Muzhskie_mahrovye_noski_Ekmen_13034","","short","вид","UAH"
"13035","Мужские махровые носки Ekmen","Мужские махровые носки Ekman. Состав: хлопок 90%, стрейч 10%. Цвет: чёрный. Размер: 38-41. Количество в упаковке 12 пар.","/pic/IMG_4283","","","","","410","12","34,1666666666667","1","3","","Muzhskie_mahrovye_noski_Ekmen_13035","","short","вид","UAH"
"13046","Мужские махровые носки Marjinal","Мужские махровые носки Marjinal. Состав: хлопок 95%, лайкра 5%. Размер 41-45. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_4443","","","","","155","12","12,9166666666667","1","3","","Muzhskie_mahrovye_noski_Marjinal_13046","","short","вид","UAH"
"21005","Женские носки Sunbella","Женские носки Sunbella. Состав: хлопок 80%, нейлон 16%, эластан 4%. Размер: 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_2910","IMG_2886","","","","145","12","12,0833333333333","1","4","","Zhenskie_noski_Sunbella_21005","","short","вид","UAH"
"21031","Женские укороченные носки Inaltun","Женские укороченные носки Inaltun. Состав: хлопок 85%, ПА 12%, эластан 3%. Размер 36-40. Цвет: ассорти. Количество в упаковке 12 пар.","/pic/IMG_3269","IMG_3240","","","","150","12","12,5","1","4","","Zhenskie_ukorochennye_noski_Inaltun_21031","","short","вид","UAH"
"21056","Женские укороченные носки Hakan","Женские укороченные носки Hakan. Состав: хлопок 85%, лайкра 15%. Цвет: ассорти. Размер: 36-40. Количество в упаковке 12 пар.","/pic/IMG_3260","IMG_3221","","","","100","12","8,33333333333333","1","4","","Zhenskie_ukorochennye_noski_Hakan_21056","","short","вид","UAH"
